"id","city_ar","city_en","name_ar","name_en","address_ar","address_en","link","phone","createdAt","updatedAt"
"13","المنطقة الغربية ","Outside the Kingdom of Saudi Arabia","جدة - الرحيلي ","Jeddah - Al Ruhaili","في محطة الرحيلي ","At Al-Ruhaili Station","https://maps.app.goo.gl/hgnNzQt85YqASWp36","920016097","2026-01-29 11:40:51.118","2026-01-29 11:41:21.186"
"14","المنطقة الغربية ","Outside the Kingdom of Saudi Arabia","ينبع - التأخي ","Yanbu - altakhi","في ينبع حي التأخي ","In Yanbu, Al-Taakhi neighborhood","https://maps.app.goo.gl/2c7WZLjTNXZ6Qxmt8","920016097","2026-01-29 11:45:49.943","2026-01-29 11:54:39.502"
"15","المنطقة الغربية ","Outside the Kingdom of Saudi Arabia","الطائف - السيل الصغير ","Ta'if - Al-Sail Al-Sagheer","في الطائف حي السيل الصغير ","In Taif, Al-Seil Al-Sagheer neighborhood","https://maps.app.goo.gl/nFaAjWfDeNHMwHZq5","920016097","2026-01-29 11:47:42.582","2026-01-29 11:47:53.442"
"16","المنطقة الوسطى"," central region","الرياض - العقيق ","Al-Riyadh – Al-Aqiq","الرياض- العقيق","Al-Riyadh – Al-Aqiq","https://maps.app.goo.gl/Veq77nzhGyA7tpbL9","920016097","2026-01-29 11:50:19.982","2026-01-29 11:52:57.548"
"17","المنطقة الوسطى","Outside the Kingdom of Saudi Arabia","الرياض - أم الحمام ",,"الرياض حي أم الحمام ","Riyadh, in the Umm Al-Hamam neighborhood","https://maps.app.goo.gl/uAJfY1mkLQnABVoy6","920016097","2026-01-29 11:50:49.990","2026-01-29 11:50:49.990"
"18","المنطقة الوسطى","Outside the Kingdom of Saudi Arabia","الرياض - الندوة ","Riyadh - alnadwa","الرياض حي الندوة ","Riyadh, Al-Nadwa District","https://maps.app.goo.gl/tG8Pg9BoXZKcDWcu7","920016097","2026-01-29 11:52:53.607","2026-01-29 11:52:53.607"
"19","المنطقة الوسطى"," central region","الرياض - المصيف ","Riyadh – Al-Maseef District","الرياض - المصيف ","Riyadh – Al-Maseef District","https://maps.app.goo.gl/NkTDaybaky4ut85P7","920016097","2026-01-29 11:54:16.837","2026-01-29 11:54:16.837"
"20","المنطقة الجنوبية ","southern region","أبها - المحالة ","Abha – Al-Muhalah","أبها - المحالة ","Abha – Al-Muhalah","https://maps.app.goo.gl/ogLw2T4iieTqF8Wq7","920016097","2026-01-29 11:55:33.278","2026-01-29 11:55:33.278"
"21","المنطقة الغربية ","Western Region","المدينة المنورة - طريق السلام","Madinah - Al Salam Road","في المدينة طريق السلام","Madinah - Al Salam Road","https://maps.app.goo.gl/vhj8hmq7NU28nRug6","920016097","2026-01-29 11:56:13.116","2026-01-29 11:57:22.102"
"22","المنطقة الوسطى"," central region","الرياض - القدس ","Riyadh – Al-Quds","الرياض - القدس ","Riyadh – Al-Quds","https://maps.app.goo.gl/TYk3MwzKPDhoUyAC9","920016097","2026-01-29 11:56:30.452","2026-01-29 11:56:30.452"
